Label,Latitude,Longitude
2,30.2788167,-97.7414395
6,30.2450995,-97.7512395
9,30.2152191,-97.7357198
10,30.3283076,-97.7061792
11,30.208442,-97.8529274
13,30.3623534,-97.6907004
17,30.2307032,-97.7127394
18,30.2919737,-97.7499792
23,30.1893349,-97.7456159
24,30.2707339,-97.7456901
26,30.4272267,-97.7008107
28,30.1891879,-97.7795268
29,30.2009563,-97.7460772
32,30.2629887,-97.7548229
34,30.3713894,-97.6847401
35,30.2911962,-97.7041721
36,30.29952,-97.6994002
43,30.2439053,-97.7583164
46,30.3591383,-97.69592
47,30.1845666,-97.8356698
55,30.3065573,-97.7147877
56,30.2741825,-97.743218
57,30.3788926,-97.6884739
60,30.2806163,-97.6901778
61,30.2127021,-97.7790445
63,30.3371643,-97.7156122
64,30.3762836,-97.6770846
65,30.2742299,-97.6900484
66,30.3775803,-97.6717006
69,30.2786934,-97.7701812
72,30.1696135,-97.7880775
81,30.4584388,-97.7657363
85,30.2036872,-97.7974863
87,30.3644784,-97.6965289
90,30.2021667,-97.7650808
93,30.4065985,-97.6548276
94,30.3823043,-97.7397207
95,30.3191464,-97.7402453
97,30.2985824,-97.7179486
98,30.3559746,-97.6808185
102,30.2375428,-97.7385118
104,30.2811926,-97.7190757
106,30.3234337,-97.6871851
107,30.1793022,-97.8529125
108,30.2804018,-97.7098533
112,30.4658028,-97.7948421
113,30.3662919,-97.6951059
114,30.3426001,-97.7007481
115,30.2123911,-97.7862125
116,30.1930018,-97.750691
123,30.3915072,-97.7110372
125,30.2735088,-97.7422728
127,30.3397248,-97.7083416
128,30.2368331,-97.7428545
129,30.1755137,-97.7469483
132,30.3387073,-97.7019071
134,30.3335719,-97.6967996
137,30.2051807,-97.638981
139,30.2885281,-97.6664898
141,30.2146107,-97.7475165
142,30.2708751,-97.6870192
145,30.4368499,-97.7596428
147,30.2670303,-97.7461569
149,30.2028221,-97.752265
153,30.2298941,-97.7784695
154,30.2564006,-97.7617565
155,30.1740726,-97.7986559
158,30.2956282,-97.7608793
159,30.2675725,-97.7352998
162,30.2378615,-97.7207713
164,30.2126403,-97.7548273
167,30.4293813,-97.7587536
168,30.252142,-97.7702143
169,30.2007769,-97.7945516
172,30.404136,-97.7355891
173,30.1988576,-97.7407697
177,30.2916579,-97.6281587
182,30.2189194,-97.8425118
184,30.248188,-97.7770098
187,30.1957238,-97.7562444
188,30.3596442,-97.7326834
192,30.200874,-97.7635732
193,30.2544678,-97.7099719
194,30.2695658,-97.7163424
197,30.2663768,-97.7455312
198,30.3215992,-97.6965276
205,30.2013274,-97.788062
208,30.2233874,-97.7636552
210,30.3073036,-97.6781939
212,30.3639948,-97.7257438
213,30.2365619,-97.7399191
215,30.206142,-97.7885527
221,30.2712106,-97.722277
223,30.1176184,-97.8048621
225,30.2647414,-97.7473557
226,30.2054589,-97.6384761
229,30.1586093,-97.735377
231,30.3340161,-97.6856583
232,30.2668104,-97.7271614
234,30.2994209,-97.7221129
236,30.4471677,-97.7780041
238,30.2842359,-97.7416204
243,30.2191716,-97.799151
246,30.2393742,-97.7248166
248,30.3770512,-97.7001725
249,30.2351565,-97.7933153
250,30.3459158,-97.6954634
252,30.2346432,-97.7207507
254,30.2665004,-97.7432054
255,30.2242616,-97.6829248
256,30.2688775,-97.7463767
258,30.2860974,-97.6553127
259,30.1996292,-97.7645879
261,30.3424297,-97.7160686
262,30.271379,-97.7418166
265,30.3072337,-97.7116788
266,30.2857039,-97.7172232
267,30.2987341,-97.6406609
269,30.2339391,-97.7716793
272,30.3240143,-97.6901303
273,30.2381286,-97.7626548
274,30.1620436,-97.7277519
279,30.2483092,-97.7778492
281,30.2929752,-97.6805182
283,30.2251317,-97.7631305
284,30.1884111,-97.8774481
285,30.2294511,-97.7271275
287,30.3041725,-97.7128904
289,30.4198071,-97.6751109
290,30.2304362,-97.7435581
296,30.1731342,-97.7523773
297,30.2663056,-97.7350772
299,30.4567924,-97.7711582
303,30.311829,-97.7468515
304,30.2703601,-97.7458395
305,30.3798981,-97.67564
309,30.3295319,-97.6905404
310,30.1650529,-97.7425406
312,30.3942817,-97.7327581
313,30.261545,-97.7044885
316,30.2182607,-97.7419496
319,30.3719158,-97.8012433
321,30.377187,-97.6762127
322,30.3898481,-97.7072436
324,30.219632,-97.7664755
325,30.2691938,-97.7195401
333,30.2748907,-97.7054623
334,30.3505732,-97.7016658
339,30.2378602,-97.7972035
342,30.3221453,-97.7109503
344,30.447457,-97.6659422
345,30.3663332,-97.7129523
347,30.2149041,-97.7112236
351,30.2692252,-97.7044061
353,30.2351333,-97.7236103
356,30.2324046,-97.8449354
357,30.3220645,-97.7117102
358,30.280753,-97.7295008
359,30.3339479,-97.6848865
360,30.4443603,-97.6656914
364,30.3908254,-97.7430003
371,30.4433481,-97.6926949
373,30.3605948,-97.6704376
377,30.208931,-97.7815096
380,30.3579136,-97.6942789
382,30.238499,-97.8988819
383,30.1813368,-97.7775152
386,30.3768827,-97.6759959
387,30.2189827,-97.7961411
390,30.3936195,-97.7036446
391,30.3150113,-97.6651302
394,30.3086147,-97.6792166
400,30.3716423,-97.6987595
402,30.2000759,-97.7759081
403,30.2842318,-97.727046
404,30.3531242,-97.6751916
406,30.410513,-97.7439627
408,30.3039404,-97.7539253
410,30.1931095,-97.8325901
411,30.3169089,-97.6800917
413,30.3692101,-97.7043482
414,30.2166519,-97.7018973
423,30.2054661,-97.8342493
