RIN,Primary Key,Date  Occurred,Time  Occurred,Location,Area_Command,Nature of Contact,Reason Desc,R2R Level,Master Subject ID,Subject Effects,Subject  Sex,Subject  Race,Subject  Ethnicity,Subject Conduct Desc,Subject Resistance,Weapon Used 1,Weapon Used 2,Weapon Used 3,Weapon Used 4,Weapon Used 5,Number  Shots,Effect on Officer,Officer  Organization Desc,Officer  Commission Date,Officer Yrs of Service,X-Coordinate,Y-Coordinate,Council District,Census Tract,ZIP,County,County desc
7502060,20191101891,4/20/2019 0:00,,3501 E 7TH ST,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459008394: 20191101891,MINOR INJURY,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE,CED - DRIVE STUN-ENTER # CYCLES (use #shots field),,,,,2,NO COMPLAINT OF INJURY/PAIN,CHARLIE 800 REG III PATROL,3/20/2015 0:00,4,3126918,10066963,3,-,78702,1,TRAVIS COUNTY
7515242,20191360125,5/16/2019 0:00,,1500 S LAMAR BLVD,DA,2-WARRANT SERVICE [non-MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,459465084: 20191360125,COMPLAINT OF INJURY/PAIN,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE; PREPARATORY RESISTANCE,CED - DRIVE STUN-ENTER # CYCLES (use #shots field),,,,,1,NO COMPLAINT OF INJURY/PAIN,ADAM 300 REG II PATROL,7/8/2016 0:00,3,3107587,10064955,5,-,78704,1,TRAVIS COUNTY
7519794,20191460165,5/26/2019 0:00,122,E 6TH ST / SAN JACINTO BLVD,GE,,NECESSARY TO DEFEND ANOTHER,3,1215378: 20191460165,NO COMPLAINT OF INJURY/PAIN,,,,,AGGRESSIVE RESISTANCE,CHEMICAL AGENT - O C SPRAY,,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,10/30/2015 0:00,4,3115084,10070527,9,-,78701,1,TRAVIS COUNTY
7522110,20191501592,5/30/2019 0:00,1822,1030 NORWOOD PARK BLVD,ID,,NECESSARY TO EFFECT ARREST / DETENTION,4,459084165: 20191501592,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,M,B,N,,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,ACADEMY CADET TRAINING REG II,5/10/2019 0:00,0,3129996,10096983,4,-,78753,1,TRAVIS COUNTY
7536728,20191730043,6/22/2019 0:00,30,710 W 7TH ST,GE,,NECESSARY TO EFFECT ARREST / DETENTION,4,459820967: 20191730043,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 500 REG I EVENING,12/12/2014 0:00,5,3112081,10071853,9,11,78701,1,TRAVIS COUNTY
7540296,20191841762,7/3/2019 0:00,1951,6809 ATHLETIC DR,ID,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,290457032: 20191841762,NO COMPLAINT OF INJURY/PAIN,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,ACADEMY CADET TRAINING REG II,5/10/2019 0:00,0,3130637,10090815,1,18.11,78752,1,TRAVIS COUNTY
7541415,20191880225,7/7/2019 0:00,,302 E 6TH ST,GE,,,4,,,,,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,,PUBLIC INFORMATION OFFICE,10/23/1998 0:00,21,3115180,10070609,9,11,78701,1,TRAVIS COUNTY
7541415,20191880225,7/7/2019 0:00,,302 E 6TH ST,GE,,OTHER (DOCUMENT IN SUPPLEMENT),3,1220937: 20191880225,NO COMPLAINT OF INJURY/PAIN,,,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE; PREPARATORY RESISTANCE,CHEMICAL AGENT - O C SPRAY,,,,,,,GEORGE 600 REG I EVENING,6/20/2008 0:00,11,3115180,10070609,9,11,78701,1,TRAVIS COUNTY
7550506,20192050065,7/24/2019 0:00,,S MOPAC EXPY SVRD SB / BEE CAVES RD,DA,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,435093884: 20192050065,NO COMPLAINT OF INJURY/PAIN,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PREPARATORY RESISTANCE,,,,,,,,DWI TEAM 1 REG III HWY ENFORCEMENT,3/20/2015 0:00,4,3101694,10069796,8,-,78746,1,TRAVIS COUNTY
7564365,20192322063,8/20/2019 0:00,16,10815 LAMBERT CIR,ED,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459739608: 20192322063,NO COMPLAINT OF INJURY/PAIN,F,W,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 300 REG II PATROL,3/21/2014 0:00,5,3126628,10112832,4,18.21,78758,1,TRAVIS COUNTY
